geneID,GeneName,Chrom,Strand,Start,End,GeneLength,DL_1_fpkm,DL_2_fpkm,DL_3_fpkm,DL_DOX_1_fpkm,DL_DOX_2_fpkm,DL_DOX_3_fpkm,GeneType,GeneDescription
ENSG00000149243,KLHL35,chr11,-,75133438,75141674,2497,7.574276212,6.117530372,7.071110216,6.240477386,5.91878659,6.256043758,protein_coding,kelch-like_family_member_35
ENSG00000162599,NFIA,chr1,+,61330931,61928465,9487,2.934296284,3.502993571,3.203035675,2.553205282,2.718493693,2.897119381,protein_coding,nuclear_factor_I/A
ENSG00000162598,C1orf87,chr1,-,60452941,60539442,3012,0,0,0,0,0,0,protein_coding,chromosome_1_open_reading_frame_87
ENSG00000213859,KCTD11,chr17,+,7255208,7258258,3051,11.06412377,9.975201577,10.33717285,13.80496855,13.5853085,14.00542174,protein_coding,potassium_channel_tetramerisation_domain_containing_11
ENSG00000261608,SLC25A1P4,chr16,+,34407687,34408464,778,0,0,0,0,0,0,pseudogene,solute_carrier_family_25_(mitochondrial_carrier;_citrate_transporter)_member_1_pseudogene_4
ENSG00000228945,CLUHP2,chrY,+,20442064,20446647,1303,0,0,0,0,0,0,pseudogene,clustered_mitochondria_(cluA/CLU1)_homolog_pseudogene_2
ENSG00000228941,UBE3AP2,chr21,-,32432919,32435487,2259,0,0,0,0,0,0,pseudogene,ubiquitin_protein_ligase_E3A_pseudogene_2
ENSG00000198792,TMEM184B,chr22,-,38615298,38669040,3667,10.18912344,9.364784114,11.20008155,11.4158229,11.52011394,11.31602544,protein_coding,transmembrane_protein_184B
ENSG00000198797,FAM5B,chr1,+,177140633,177251558,3558,0,0,0,0,0,0,protein_coding,family_with_sequence_similarity_5_member_B
ENSG00000175550,DRAP1,chr11,+,65686728,65689032,989,125.3536244,124.6241119,130.4041171,195.4133418,184.4877152,180.0422829,protein_coding,DR1-associated_protein_1_(negative_cofactor_2_alpha)
ENSG00000100288,CHKB,chr22,-,51017378,51039884,2114,0.087496641,0.137898139,0.090784841,0.097308042,0.19804849,0.203146963,protein_coding,choline_kinase_beta
ENSG00000183864,TOB2,chr22,-,41829496,41843027,4561,39.79385029,39.03932911,40.03049527,51.13413889,52.18514745,51.28056704,protein_coding,transducer_of_ERBB2_2
ENSG00000161970,RPL26,chr17,-,8280838,8286531,1002,8.537689962,8.087987361,7.342216487,5.389088369,6.560069628,8.250463179,protein_coding,ribosomal_protein_L26
ENSG00000255277,ABCC6P2,chr16,-,14914649,14918563,717,0.322468444,0.406578336,0.089223224,0.93243362,0.175177618,0.898436571,pseudogene,ATP-binding_cassette_sub-family_C_member_6_pseudogene_2
ENSG00000230487,PSMG3-AS1,chr7,+,1609709,1629262,5701,0.957122089,1.0431398,1.054809128,1.136614604,0.705012326,1.016946359,lincRNA,PSMG3_antisense_RNA_1_(head_to_head)
ENSG00000230484,OR51A10P,chr11,-,5489716,5490652,937,0,0,0,0,0,0,pseudogene,olfactory_receptor_family_51_subfamily_A_member_10_pseudogene
ENSG00000176390,CRLF3,chr17,-,29096406,29151794,2957,2.877417439,2.642085448,2.661036636,3.826177239,4.544961681,4.81082856,protein_coding,cytokine_receptor-like_factor_3
ENSG00000188883,KLRG2,chr7,-,139137436,139168458,2197,0,0,0.029118367,0,0.019056646,0,protein_coding,killer_cell_lectin-like_receptor_subfamily_G_member_2
