geneID,GeneName,Chrom,Strand,Start,End,GeneLength,BC_1_fpkm,BC_2_fpkm,BC_3_fpkm,BC_DOX_1_fpkm,BC_DOX_2_fpkm,BC_DOX_3_fpkm,GeneType,GeneDescription
ENSG00000149243,KLHL35,chr11,-,75133438,75141674,2497,25.645374,26.52955067,25.31415444,15.80682825,18.09006574,14.935406,protein_coding,kelch-like_family_member_35
ENSG00000162599,NFIA,chr1,+,61330931,61928465,9487,8.420953859,7.958202892,8.084042526,6.655057654,6.301906597,6.328909863,protein_coding,nuclear_factor_I/A
ENSG00000162598,C1orf87,chr1,-,60452941,60539442,3012,0,0,0.020256632,0,0,0,protein_coding,chromosome_1_open_reading_frame_87
ENSG00000213859,KCTD11,chr17,+,7255208,7258258,3051,5.509702089,4.778788112,4.299505062,6.266751509,5.93527026,5.905520567,protein_coding,potassium_channel_tetramerisation_domain_containing_11
ENSG00000261608,SLC25A1P4,chr16,+,34407687,34408464,778,0,0,0,0,0,0,pseudogene,solute_carrier_family_25_(mitochondrial_carrier;_citrate_transporter)_member_1_pseudogene_4
ENSG00000228945,CLUHP2,chrY,+,20442064,20446647,1303,0,0,0,0,0,0,pseudogene,clustered_mitochondria_(cluA/CLU1)_homolog_pseudogene_2
ENSG00000228941,UBE3AP2,chr21,-,32432919,32435487,2259,0,0,0,0,0,0,pseudogene,ubiquitin_protein_ligase_E3A_pseudogene_2
ENSG00000198792,TMEM184B,chr22,-,38615298,38669040,3667,6.274847579,6.482648947,5.923266874,9.797909885,7.916506127,8.61918299,protein_coding,transmembrane_protein_184B
ENSG00000198797,FAM5B,chr1,+,177140633,177251558,3558,0,0,0,0,0,0,protein_coding,family_with_sequence_similarity_5_member_B
ENSG00000175550,DRAP1,chr11,+,65686728,65689032,989,72.74240596,70.89098025,66.75029379,58.52514265,58.78661248,59.13263117,protein_coding,DR1-associated_protein_1_(negative_cofactor_2_alpha)
ENSG00000100288,CHKB,chr22,-,51017378,51039884,2114,0.118096011,0.059973191,0.057722778,0.088152034,0.113959998,0.095229691,protein_coding,choline_kinase_beta
ENSG00000183864,TOB2,chr22,-,41829496,41843027,4561,24.70458412,21.79305588,24.49347949,25.80592141,23.86577876,24.8058208,protein_coding,transducer_of_ERBB2_2
ENSG00000161970,RPL26,chr17,-,8280838,8286531,1002,4.817028627,4.491824436,4.566839557,3.050095571,2.684808079,3.164391398,protein_coding,ribosomal_protein_L26
ENSG00000255277,ABCC6P2,chr16,-,14914649,14918563,717,0.232129211,0.353649446,0.425474034,0.727739917,0.671998425,0.491355986,pseudogene,ATP-binding_cassette_sub-family_C_member_6_pseudogene_2
